รหัสล็อค,ประเภท,สี,หมายเหตุ
A101,แฟชั่น 3x3,ชมพู,มุมบน
A102,แฟชั่น 3x3,ชมพู,มุมบน
A118,แฟชั่น 3x3,ชมพู,มุมล่าง
A119,แฟชั่น 3x3,ชมพู,มุมล่าง
A201,แฟชั่น 3x3,ชมพู,มุมบน
A202,แฟชั่น 3x3,ชมพู,มุมบน
A218,แฟชั่น 3x3,ชมพู,มุมล่าง
A219,แฟชั่น 3x3,ชมพู,มุมล่าง
A301,แฟชั่น 3x3,ชมพู,มุมบน
A302,แฟชั่น 3x3,ชมพู,มุมบน
A318,แฟชั่น 3x3,ชมพู,มุมล่าง
A319,แฟชั่น 3x3,ชมพู,มุมล่าง
A401,แฟชั่น 3x3,ชมพู,มุมบน
A402,แฟชั่น 3x3,ชมพู,มุมบน
A420,แฟชั่น 3x3,ชมพู,มุมล่าง
A421,แฟชั่น 3x3,ชมพู,มุมล่าง
A501,แฟชั่น 3x3,ชมพู,มุมบน
A502,แฟชั่น 3x3,ชมพู,มุมบน
A520,แฟชั่น 3x3,ชมพู,มุมล่าง
A521,แฟชั่น 3x3,ชมพู,มุมล่าง
A601,แฟชั่น 3x3,ชมพู,มุมบน
A602,แฟชั่น 3x3,ชมพู,มุมบน
A621,แฟชั่น 3x3,ชมพู,มุมล่าง
A622,แฟชั่น 3x3,ชมพู,มุมล่าง
A701,แฟชั่น 3x3,ชมพู,มุมบน
A702,แฟชั่น 3x3,ชมพู,มุมบน
A721,แฟชั่น 3x3,ชมพู,มุมล่าง
A722,แฟชั่น 3x3,ชมพู,มุมล่าง
A801,แฟชั่น 3x3,ชมพู,แถวพิเศษเต็มแถว
A802,แฟชั่น 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A901,อาหาร 3x3,ชมพู,แถวพิเศษเต็มแถว
A902,อาหาร 3x3,ฟ้า,แถวพิเศษเต็มแถว
A903,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A904,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A905,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A906,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A907,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A908,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A909,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
A910,อาหาร 3x3,ฟ้า-A9,แถวพิเศษเต็มแถว
